|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
         KW202-00090  |                ukicheza |       1 |       1 |      35 |       0 |     0.0236 |   0.00098 |    0.000 |
         KW202-00091  |                  chunga |       2 |       1 |      74 |       1 |    -1.5645 |   0.00206 |    0.500 |
         KW202-00092  |           nai bahatisha |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00093  |            nitakusaidia |       1 |       1 |      17 |       0 |     0.5257 |   0.00047 |    0.000 |
         KW202-00094  |             ulikuwa una |       1 |       1 |      97 |       0 |    -1.7061 |   0.00271 |    0.000 |
         KW202-00095  |           madawa health |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00096  |                wasiwasi |       2 |       2 |      23 |       0 |     0.3583 |   0.00064 |    0.000 |
         KW202-00097  |                 wa pili |      15 |      14 |      36 |       1 |    -0.0714 |   0.00100 |    0.067 |
         KW202-00098  |                 i swear |       1 |       1 |      64 |       0 |    -0.7854 |   0.00179 |    0.000 |
         KW202-00099  |         anataka kuniona |       2 |       2 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00100  |             nikakutumia |       2 |       2 |      11 |       0 |     0.6931 |   0.00031 |    0.000 |
         KW202-00101  |                  fungua |       2 |       1 |     126 |       1 |    -3.0152 |   0.00352 |    0.500 |
         KW202-00102  |                   david |       3 |       2 |      44 |       1 |    -0.5609 |   0.00123 |    0.333 |
         KW202-00103  |                tufungue |       1 |       1 |      26 |       0 |     0.2747 |   0.00073 |    0.000 |
         KW202-00104  |          d x wanasemaje |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00105  |                 kitaifa |       1 |       1 |      34 |       0 |     0.0515 |   0.00095 |    0.000 |
         KW202-00106  |                  huruma |       1 |       1 |      96 |       0 |    -1.6782 |   0.00268 |    0.000 |
         KW202-00107  |           can i call it |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00108  |                 want to |       2 |       0 |      49 |       2 |    -1.3670 |   0.00137 |    1.000 |
         KW202-00109  |                   stage |      10 |       7 |     147 |       3 |    -3.4020 |   0.00410 |    0.300 |
         KW202-00110  |                 runinga |       1 |       1 |      98 |       0 |    -1.7339 |   0.00273 |    0.000 |
         KW202-00111  |                kumpigia |       2 |       2 |      50 |       0 |    -0.3949 |   0.00140 |    0.000 |
         KW202-00112  |                ukiongea |       1 |       1 |      90 |       0 |    -1.5108 |   0.00251 |    0.000 |
         KW202-00113  |                   bench |       1 |       1 |      48 |       0 |    -0.3391 |   0.00134 |    0.000 |
         KW202-00114  |           lazima niende |       1 |       1 |      16 |       0 |     0.5536 |   0.00045 |    0.000 |
         KW202-00115  |             miaka ngapi |       1 |       1 |      13 |       0 |     0.6373 |   0.00036 |    0.000 |
         KW202-00116  |      ananjaa hakukunywa |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00117  |                  tukiwa |      10 |       9 |     122 |       1 |    -2.5043 |   0.00340 |    0.100 |
         KW202-00118  |                 ukilipa |       1 |       0 |      15 |       1 |    -0.4185 |   0.00042 |    1.000 |
         KW202-00119  |             yaliyo mema |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00120  |             angefikiria |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00121  |           nilitoa nduru |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00122  |                  maseno |       1 |       1 |      31 |       0 |     0.1352 |   0.00086 |    0.000 |
         KW202-00123  |                 tumekaa |       4 |       4 |      42 |       0 |    -0.1718 |   0.00117 |    0.000 |
         KW202-00124  |          do not show up |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00125  |                   y d x |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00126  |              hatutaenda |       2 |       2 |      59 |       0 |    -0.6460 |   0.00165 |    0.000 |
         KW202-00127  |                   pombe |       3 |       3 |      87 |       0 |    -1.4272 |   0.00243 |    0.000 |
         KW202-00128  |             nikikungoja |       1 |       1 |       8 |       0 |     0.7768 |   0.00022 |    0.000 |
         KW202-00129  |           anacall ahmed |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00130  |                nilirudi |       3 |       3 |      66 |       0 |    -0.8413 |   0.00184 |    0.000 |
         KW202-00131  |               atakosaje |       1 |       1 |       7 |       0 |     0.8047 |   0.00020 |    0.000 |
         KW202-00132  |               hawatoshi |       1 |       0 |       7 |       1 |    -0.1953 |   0.00020 |    1.000 |
         KW202-00133  |          nataka kuongea |       1 |       0 |      25 |       1 |    -0.6974 |   0.00070 |    1.000 |
         KW202-00134  |       nitakuwa nimefika |       5 |       5 |       3 |       0 |     0.9163 |   0.00008 |    0.000 |
         KW202-00135  |            wanaangaliwa |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00136  |              kam ucheki |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00137  |          hizo vitu zote |       2 |       2 |       6 |       0 |     0.8326 |   0.00017 |    0.000 |
         KW202-00138  |           itakaa itakaa |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00139  |               nilifanya |       2 |       2 |      83 |       0 |    -1.3156 |   0.00232 |    0.000 |
         KW202-00140  |             am here for |       2 |       0 |       0 |       2 |     0.0000 |   0.00000 |    1.000 |
         KW202-00141  |               unaombewa |       1 |       0 |       2 |       1 |    -0.0558 |   0.00006 |    1.000 |
         KW202-00142  |            kuongea nami |       1 |       1 |      12 |       0 |     0.6652 |   0.00033 |    0.000 |
         KW202-00143  |                 githeri |       4 |       4 |      91 |       0 |    -1.5389 |   0.00254 |    0.000 |
         KW202-00144  |               niwahardy |       1 |       0 |       1 |       1 |    -0.0279 |   0.00003 |    1.000 |
         KW202-00145  |               nitafanya |       5 |       4 |      77 |       1 |    -1.3483 |   0.00215 |    0.200 |
         KW202-00146  |                nilipewa |       1 |       0 |      86 |       1 |    -2.3992 |   0.00240 |    1.000 |
         KW202-00147  |                 watumie |       1 |       1 |      68 |       0 |    -0.8970 |   0.00190 |    0.000 |
         KW202-00148  |                and then |       3 |       2 |      74 |       1 |    -1.3979 |   0.00206 |    0.333 |
         KW202-00149  |                  is too |       2 |       1 |      84 |       1 |    -1.8435 |   0.00234 |    0.500 |
         KW202-00150  |                  i mean |       2 |       1 |     121 |       1 |    -2.8757 |   0.00338 |    0.500 |
         KW202-00151  |               haikuangi |       1 |       1 |      19 |       0 |     0.4699 |   0.00053 |    0.000 |
         KW202-00152  |           mpoa akwambie |         |         |         |         |            |           |          |
         KW202-00153  |               kifo kifo |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00154  |             nimeshikana |       1 |       1 |      30 |       0 |     0.1631 |   0.00084 |    0.000 |
         KW202-00155  |                 unaijua |       1 |       1 |      87 |       0 |    -1.4271 |   0.00243 |    0.000 |
         KW202-00156  |                 ulikula |       1 |       1 |      78 |       0 |    -1.1760 |   0.00218 |    0.000 |
         KW202-00157  |             nilishangaa |       1 |       1 |      25 |       0 |     0.3026 |   0.00070 |    0.000 |
         KW202-00158  |               mshanunua |       1 |       1 |       3 |       0 |     0.9163 |   0.00008 |    0.000 |
         KW202-00159  |           tunaleta fujo |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00160  |               tukicheza |       1 |       1 |      27 |       0 |     0.2468 |   0.00075 |    0.000 |
         KW202-00161  |            coin ukiweka |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00162  |                tunakula |       1 |       1 |      43 |       0 |    -0.1996 |   0.00120 |    0.000 |
         KW202-00163  |            bell ikiring |         |         |         |         |            |           |          |
         KW202-00164  |           madogo madogo |       2 |       2 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00165  |                 malaria |       1 |       0 |      51 |       1 |    -1.4228 |   0.00142 |    1.000 |
         KW202-00166  |               utatafuta |       1 |       1 |      30 |       0 |     0.1631 |   0.00084 |    0.000 |
         KW202-00167  |           ilikuwa mbaya |       2 |       2 |       7 |       0 |     0.8047 |   0.00020 |    0.000 |
         KW202-00168  |             ukinitafuta |       1 |       1 |       3 |       0 |     0.9163 |   0.00008 |    0.000 |
         KW202-00169  |              ako karibu |       4 |       4 |      20 |       0 |     0.4420 |   0.00056 |    0.000 |
         KW202-00170  |           nitakuja nazo |       5 |       4 |       3 |       1 |     0.7163 |   0.00008 |    0.200 |
         KW202-00171  |                 kutumia |       6 |       6 |      76 |       0 |    -1.1205 |   0.00212 |    0.000 |
         KW202-00172  |           wanaendeleaje |       2 |       1 |      35 |       1 |    -0.4764 |   0.00098 |    0.500 |
         KW202-00173  |         kinaweza saidia |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00174  |             kuna kijana |       2 |       2 |      12 |       0 |     0.6652 |   0.00033 |    0.000 |
         KW202-00175  |               kituo cha |       2 |       2 |      15 |       0 |     0.5815 |   0.00042 |    0.000 |
         KW202-00176  |                nitazima |       1 |       1 |      15 |       0 |     0.5815 |   0.00042 |    0.000 |
         KW202-00177  |               nikaongea |       1 |       1 |      67 |       0 |    -0.8691 |   0.00187 |    0.000 |
         KW202-00178  |            unaweza enda |       2 |       2 |      27 |       0 |     0.2467 |   0.00075 |    0.000 |
         KW202-00179  |               tutafanya |      13 |      12 |      55 |       1 |    -0.6118 |   0.00154 |    0.077 |
         KW202-00180  |                  ripoti |       3 |       3 |      37 |       0 |    -0.0323 |   0.00103 |    0.000 |
         KW202-00181  |                   daudi |       2 |       2 |      60 |       0 |    -0.6739 |   0.00167 |    0.000 |
         KW202-00182  |                  tukuwe |       1 |       1 |     167 |       0 |    -3.6589 |   0.00466 |    0.000 |
         KW202-00183  |               rael rael |         |         |         |         |            |           |          |
         KW202-00184  |          marafiki zangu |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00185  |            atupe hekima |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00186  |                 imeweka |       1 |       0 |      36 |       1 |    -1.0043 |   0.00100 |    1.000 |
         KW202-00187  |              alimdirect |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00188  |             ken ken ken |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00189  |            kutoka kwako |       2 |       2 |      14 |       0 |     0.6094 |   0.00039 |    0.000 |
         KW202-00190  |                 akipiga |       1 |       1 |      16 |       0 |     0.5536 |   0.00045 |    0.000 |
         KW202-00191  |              only asked |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00192  |          buying centers |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00193  |                nikisema |       1 |       1 |      51 |       0 |    -0.4228 |   0.00142 |    0.000 |
         KW202-00194  |               themanini |       7 |       7 |      32 |       0 |     0.1071 |   0.00089 |    0.000 |
         KW202-00195  |                  kakazi |       1 |       1 |      35 |       0 |     0.0236 |   0.00098 |    0.000 |
         KW202-00196  |           an understate |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00197  |         that's a lot of |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00198  |              mahali uko |       3 |       3 |      67 |       0 |    -0.8692 |   0.00187 |    0.000 |
         KW202-00199  |                  mtungi |       2 |       2 |      56 |       0 |    -0.5623 |   0.00156 |    0.000 |
         KW202-00200  |      angaza itawezekana |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00201  |                 serious |       9 |       8 |      97 |       1 |    -1.8178 |   0.00271 |    0.111 |
         KW202-00202  |               hautaisha |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00203  |                 atarudi |       6 |       6 |      42 |       0 |    -0.1719 |   0.00117 |    0.000 |
         KW202-00204  |                 kuuliza |       2 |       2 |     132 |       0 |    -2.6826 |   0.00368 |    0.000 |
         KW202-00205  |               alikuwako |       1 |       0 |     256 |       1 |    -7.1417 |   0.00714 |    1.000 |
         KW202-00206  |             anakasirika |       1 |       1 |      12 |       0 |     0.6652 |   0.00033 |    0.000 |
         KW202-00207  |             mama watoto |       1 |       1 |      15 |       0 |     0.5815 |   0.00042 |    0.000 |
         KW202-00208  |       utoto unakumaliza |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00209  |               walipitwa |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00210  |           at the end of |       1 |       1 |       3 |       0 |     0.9163 |   0.00008 |    0.000 |
         KW202-00211  |               next week |       4 |       3 |      81 |       1 |    -1.5099 |   0.00226 |    0.250 |
         KW202-00212  |              nikupeleke |       1 |       1 |      35 |       0 |     0.0236 |   0.00098 |    0.000 |
         KW202-00213  |         they first came |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00214  |               leo usiku |       2 |       2 |      46 |       0 |    -0.2833 |   0.00128 |    0.000 |
         KW202-00215  |                papa jay |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00216  |              sijachukua |       1 |       1 |      20 |       0 |     0.4421 |   0.00056 |    0.000 |
         KW202-00217  |                   mpate |       1 |       1 |      99 |       0 |    -1.7618 |   0.00276 |    0.000 |
         KW202-00218  |                  mwanzo |       4 |       3 |      91 |       1 |    -1.7889 |   0.00254 |    0.250 |
         KW202-00219  |            haiwezi isha |       1 |       1 |       4 |       0 |     0.8884 |   0.00011 |    0.000 |
         KW202-00220  |                   asked |       1 |       0 |       1 |       1 |    -0.0279 |   0.00003 |    1.000 |
         KW202-00221  |             inaitwa aje |       3 |       3 |      23 |       0 |     0.3583 |   0.00064 |    0.000 |
         KW202-00222  |                yatakuwa |       3 |       3 |      59 |       0 |    -0.6460 |   0.00165 |    0.000 |
         KW202-00223  |                 amebeba |       1 |       1 |      34 |       0 |     0.0515 |   0.00095 |    0.000 |
         KW202-00224  |             wakiniuliza |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00225  |             fanya bidii |         |         |         |         |            |           |          |
         KW202-00226  |               nchi yetu |       3 |       1 |      21 |       2 |    -0.2525 |   0.00059 |    0.667 |
         KW202-00227  |           pelekwa coast |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00228  |                mwengine |       5 |       4 |     155 |       1 |    -3.5246 |   0.00433 |    0.200 |
         KW202-00229  |               tunaonana |       1 |       1 |      69 |       0 |    -0.9249 |   0.00193 |    0.000 |
         KW202-00230  |                umezeeka |       1 |       1 |      37 |       0 |    -0.0322 |   0.00103 |    0.000 |
         KW202-00231  |               nakupikia |       1 |       1 |     116 |       0 |    -2.2361 |   0.00324 |    0.000 |
         KW202-00232  |            haitafanyika |       1 |       0 |       6 |       1 |    -0.1674 |   0.00017 |    1.000 |
         KW202-00233  |              were alert |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00234  |           online kumake |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00235  |                umekawia |       1 |       1 |      30 |       0 |     0.1631 |   0.00084 |    0.000 |
         KW202-00236  |          pahali mnaenda |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00237  |               boyfriend |       1 |       1 |      10 |       0 |     0.7210 |   0.00028 |    0.000 |
