|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00073  |                  anazaa |       1 |       1 |      57 |       0 |   -0.5902 |   0.00159 |    0.000 |
         KW202-00074  |             kabla uanze |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00075  |               ina shida |       2 |       2 |      28 |       0 |    0.2188 |   0.00078 |    0.000 |
         KW202-00076  |                 kibarua |       1 |       1 |      26 |       0 |    0.2747 |   0.00073 |    0.000 |
         KW202-00077  |              namba yako |       2 |       2 |      19 |       0 |    0.4699 |   0.00053 |    0.000 |
         KW202-00078  |               bei nafuu |       1 |       1 |       6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00079  |         nikupatie namba |       2 |       1 |       1 |       1 |    0.4721 |   0.00003 |    0.500 |
         KW202-00080  |                 unamjua |       1 |       1 |      50 |       0 |   -0.3949 |   0.00140 |    0.000 |
         KW202-00081  |           usiweke sheng |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00082  |               suluhisho |       1 |       1 |      34 |       0 |    0.0515 |   0.00095 |    0.000 |
         KW202-00083  |              wenga fans |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00084  |               ungetumia |       1 |       1 |      17 |       0 |    0.5257 |   0.00047 |    0.000 |
         KW202-00085  |                 umepata |       7 |       7 |      55 |       0 |   -0.5346 |   0.00153 |    0.000 |
         KW202-00086  |                   balaa |       1 |       1 |     118 |       0 |   -2.2919 |   0.00329 |    0.000 |
         KW202-00087  |               kinatokea |       1 |       1 |       9 |       0 |    0.7489 |   0.00025 |    0.000 |
         KW202-00088  |             katika njia |       1 |       1 |       5 |       0 |    0.8605 |   0.00014 |    0.000 |
         KW202-00089  |                 obvious |       2 |       1 |      55 |       1 |   -1.0344 |   0.00153 |    0.500 |
         KW202-00090  |                ukicheza |       1 |       1 |      23 |       0 |    0.3584 |   0.00064 |    0.000 |
         KW202-00091  |                  chunga |       2 |       1 |      55 |       1 |   -1.0344 |   0.00153 |    0.500 |
         KW202-00092  |           nai bahatisha |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00093  |            nitakusaidia |       1 |       1 |      13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00094  |             ulikuwa una |       1 |       1 |      47 |       0 |   -0.3112 |   0.00131 |    0.000 |
         KW202-00095  |           madawa health |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00096  |                wasiwasi |       2 |       2 |      20 |       0 |    0.4420 |   0.00056 |    0.000 |
         KW202-00097  |                 wa pili |      15 |      14 |      18 |       1 |    0.4310 |   0.00050 |    0.067 |
         KW202-00098  |                 i swear |       1 |       1 |      56 |       0 |   -0.5623 |   0.00156 |    0.000 |
         KW202-00099  |         anataka kuniona |       2 |       2 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00100  |             nikakutumia |       2 |       2 |       8 |       0 |    0.7768 |   0.00022 |    0.000 |
         KW202-00101  |                  fungua |       2 |       1 |      77 |       1 |   -1.6482 |   0.00215 |    0.500 |
         KW202-00102  |                   david |       3 |       2 |      38 |       1 |   -0.3935 |   0.00106 |    0.333 |
         KW202-00103  |                tufungue |       1 |       1 |      21 |       0 |    0.4142 |   0.00059 |    0.000 |
         KW202-00104  |          d x wanasemaje |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00105  |                 kitaifa |       1 |       1 |      29 |       0 |    0.1910 |   0.00081 |    0.000 |
         KW202-00106  |                  huruma |       1 |       1 |      82 |       0 |   -1.2876 |   0.00229 |    0.000 |
         KW202-00107  |           can i call it |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00108  |                 want to |       2 |       0 |      42 |       2 |   -1.1717 |   0.00117 |    1.000 |
         KW202-00109  |                   stage |      10 |       7 |     123 |       3 |   -2.7322 |   0.00343 |    0.300 |
         KW202-00110  |                 runinga |       1 |       0 |      88 |       1 |   -2.4550 |   0.00246 |    1.000 |
         KW202-00111  |                kumpigia |       2 |       2 |      42 |       0 |   -0.1717 |   0.00117 |    0.000 |
         KW202-00112  |                ukiongea |       1 |       1 |      72 |       0 |   -1.0086 |   0.00201 |    0.000 |
         KW202-00113  |                   bench |       1 |       1 |      44 |       0 |   -0.2275 |   0.00123 |    0.000 |
         KW202-00114  |           lazima niende |       1 |       1 |      14 |       0 |    0.6094 |   0.00039 |    0.000 |
         KW202-00115  |             miaka ngapi |       1 |       1 |       9 |       0 |    0.7489 |   0.00025 |    0.000 |
         KW202-00116  |      ananjaa hakukunywa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00117  |                  tukiwa |      10 |       9 |      84 |       1 |   -1.4440 |   0.00234 |    0.100 |
         KW202-00118  |                 ukilipa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
