|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
         KW202-00072  |                ametulia |       1 |       1 |       8 |       0 |     0.7768 |   0.00022 |    0.000 |
         KW202-00073  |                  anazaa |       1 |       1 |      54 |       0 |    -0.5065 |   0.00151 |    0.000 |
         KW202-00074  |             kabla uanze |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00075  |               ina shida |       2 |       2 |      25 |       0 |     0.3025 |   0.00070 |    0.000 |
         KW202-00076  |                 kibarua |       1 |       1 |      19 |       0 |     0.4699 |   0.00053 |    0.000 |
         KW202-00077  |              namba yako |       2 |       2 |      14 |       0 |     0.6094 |   0.00039 |    0.000 |
         KW202-00078  |               bei nafuu |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00079  |         nikupatie namba |       2 |       1 |       2 |       1 |     0.4442 |   0.00006 |    0.500 |
         KW202-00080  |                 unamjua |       1 |       1 |      36 |       0 |    -0.0043 |   0.00100 |    0.000 |
         KW202-00081  |           usiweke sheng |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00082  |               suluhisho |       1 |       1 |       7 |       0 |     0.8047 |   0.00020 |    0.000 |
         KW202-00083  |              wenga fans |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00084  |               ungetumia |       1 |       1 |       8 |       0 |     0.7768 |   0.00022 |    0.000 |
         KW202-00085  |                 umepata |       7 |       7 |      49 |       0 |    -0.3672 |   0.00137 |    0.000 |
         KW202-00086  |                   balaa |       1 |       1 |      74 |       0 |    -1.0644 |   0.00206 |    0.000 |
         KW202-00087  |               kinatokea |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00088  |             katika njia |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00089  |                 obvious |       2 |       1 |      37 |       1 |    -0.5322 |   0.00103 |    0.500 |
