|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00108  |                 want to |       2 |       1 |      75 |       1 |   -1.5924 |   0.00209 |    0.500 |
         KW202-00109  |                   stage |      10 |       7 |     195 |       3 |   -4.7414 |   0.00544 |    0.300 |
         KW202-00110  |                 runinga |       1 |       1 |     138 |       0 |   -2.8498 |   0.00385 |    0.000 |
         KW202-00111  |                kumpigia |       2 |       2 |      67 |       0 |   -0.8692 |   0.00187 |    0.000 |
         KW202-00112  |                ukiongea |       1 |       1 |     128 |       0 |   -2.5709 |   0.00357 |    0.000 |
         KW202-00113  |                   bench |       1 |       1 |      62 |       0 |   -0.7296 |   0.00173 |    0.000 |
         KW202-00114  |           lazima niende |       1 |       1 |      27 |       0 |    0.2468 |   0.00075 |    0.000 |
         KW202-00115  |             miaka ngapi |       1 |       1 |      15 |       0 |    0.5815 |   0.00042 |    0.000 |
         KW202-00116  |      ananjaa hakukunywa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00117  |                  tukiwa |      10 |       9 |     156 |       1 |   -3.4531 |   0.00435 |    0.100 |
         KW202-00118  |                 ukilipa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00119  |             yaliyo mema |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00120  |             angefikiria |       1 |       0 |       1 |       1 |   -0.0279 |   0.00003 |    1.000 |
         KW202-00121  |           nilitoa nduru |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00122  |                  maseno |       1 |       1 |      47 |       0 |   -0.3112 |   0.00131 |    0.000 |
         KW202-00123  |                 tumekaa |       4 |       4 |      59 |       0 |   -0.6461 |   0.00165 |    0.000 |
         KW202-00124  |          do not show up |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00125  |                   y d x |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00126  |              hatutaenda |       2 |       2 |      82 |       0 |   -1.2877 |   0.00229 |    0.000 |
         KW202-00127  |                   pombe |       3 |       3 |     120 |       0 |   -2.3479 |   0.00335 |    0.000 |
         KW202-00128  |             nikikungoja |       1 |       1 |      12 |       0 |    0.6652 |   0.00033 |    0.000 |
         KW202-00129  |           anacall ahmed |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00130  |                nilirudi |       3 |       3 |      78 |       0 |   -1.1761 |   0.00218 |    0.000 |
         KW202-00131  |               atakosaje |       1 |       1 |      10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00132  |               hawatoshi |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00133  |          nataka kuongea |       1 |       1 |      36 |       0 |   -0.0043 |   0.00100 |    0.000 |
         KW202-00134  |       nitakuwa nimefika |       5 |       5 |       4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00135  |            wanaangaliwa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
